StudentID   ,Course1 ,Course2 ,Course3 ,Course4 ,Course5
Student_1   ,   1003 ,   1002 ,   1004 ,   1005 ,   1001
Student_2   ,   1004 ,   1002 ,   1005 ,   1001 ,   1003
Student_3   ,   1002 ,   1004 ,   1003 ,   1005 ,   1001
Student_4   ,   1003 ,   1001 ,   1005 ,   1002 ,   1004
Student_5   ,   1003 ,   1002 ,   1005 ,   1001 ,   1004
Student_6   ,   1005 ,   1004 ,   1002 ,   1001 ,   1003
Student_7   ,   1004 ,   1003 ,   1001 ,   1005 ,   1002
Student_8   ,   1002 ,   1004 ,   1001 ,   1005 ,   1003
Student_9   ,   1001 ,   1004 ,   1002 ,   1003 ,   1005
Student_10  ,   1003 ,   1005 ,   1001 ,   1002 ,   1004
Student_11  ,   1005 ,   1004 ,   1003 ,   1002 ,   1001
Student_12  ,   1001 ,   1002 ,   1004 ,   1005 ,   1003
Student_13  ,   1004 ,   1001 ,   1002 ,   1005 ,   1003
Student_14  ,   1001 ,   1003 ,   1005 ,   1004 ,   1002
Student_15  ,   1003 ,   1004 ,   1001 ,   1002 ,   1005
Student_16  ,   1004 ,   1002 ,   1003 ,   1005 ,   1001
Student_17  ,   1003 ,   1005 ,   1001 ,   1004 ,   1002
Student_18  ,   1002 ,   1003 ,   1001 ,   1005 ,   1004
Student_19  ,   1004 ,   1003 ,   1001 ,   1005 ,   1002
Student_20  ,   1003 ,   1001 ,   1004 ,   1005 ,   1002
Student_21  ,   1003 ,   1004 ,   1001 ,   1002 ,   1005
Student_22  ,   1003 ,   1001 ,   1002 ,   1005 ,   1004
Student_23  ,   1004 ,   1003 ,   1002 ,   1005 ,   1001
Student_24  ,   1001 ,   1005 ,   1004 ,   1002 ,   1003
Student_25  ,   1002 ,   1003 ,   1005 ,   1001 ,   1004
Student_26  ,   1003 ,   1005 ,   1004 ,   1002 ,   1001
Student_27  ,   1001 ,   1005 ,   1002 ,   1003 ,   1004
Student_28  ,   1005 ,   1003 ,   1001 ,   1002 ,   1004
Student_29  ,   1003 ,   1002 ,   1005 ,   1004 ,   1001
Student_30  ,   1002 ,   1005 ,   1003 ,   1004 ,   1001
Student_31  ,   1003 ,   1005 ,   1002 ,   1001 ,   1004
Student_32  ,   1003 ,   1002 ,   1005 ,   1004 ,   1001
Student_33  ,   1003 ,   1004 ,   1001 ,   1002 ,   1005
Student_34  ,   1005 ,   1001 ,   1004 ,   1002 ,   1003
Student_35  ,   1004 ,   1005 ,   1001 ,   1003 ,   1002
Student_36  ,   1003 ,   1002 ,   1005 ,   1001 ,   1004
Student_37  ,   1003 ,   1005 ,   1001 ,   1002 ,   1004
Student_38  ,   1005 ,   1004 ,   1003 ,   1001 ,   1002
Student_39  ,   1004 ,   1003 ,   1005 ,   1001 ,   1002
Student_40  ,   1002 ,   1003 ,   1001 ,   1005 ,   1004
Student_41  ,   1005 ,   1003 ,   1001 ,   1002 ,   1004
Student_42  ,   1004 ,   1002 ,   1001 ,   1003 ,   1005
Student_43  ,   1002 ,   1001 ,   1004 ,   1005 ,   1003
Student_44  ,   1005 ,   1003 ,   1001 ,   1004 ,   1002
Student_45  ,   1005 ,   1001 ,   1002 ,   1004 ,   1003
Student_46  ,   1004 ,   1001 ,   1002 ,   1003 ,   1005
Student_47  ,   1003 ,   1004 ,   1001 ,   1002 ,   1005
Student_48  ,   1001 ,   1002 ,   1004 ,   1003 ,   1005
Student_49  ,   1002 ,   1003 ,   1005 ,   1004 ,   1001
Student_50  ,   1002 ,   1001 ,   1004 ,   1003 ,   1005
Student_51  ,   1001 ,   1004 ,   1002 ,   1005 ,   1003
Student_52  ,   1003 ,   1001 ,   1004 ,   1005 ,   1002
Student_53  ,   1005 ,   1004 ,   1001 ,   1002 ,   1003
Student_54  ,   1005 ,   1001 ,   1003 ,   1004 ,   1002
Student_55  ,   1002 ,   1004 ,   1005 ,   1001 ,   1003
Student_56  ,   1004 ,   1003 ,   1002 ,   1001 ,   1005
Student_57  ,   1001 ,   1002 ,   1005 ,   1003 ,   1004
Student_58  ,   1005 ,   1004 ,   1003 ,   1001 ,   1002
Student_59  ,   1002 ,   1003 ,   1004 ,   1005 ,   1001
Student_60  ,   1003 ,   1004 ,   1002 ,   1001 ,   1005
Student_61  ,   1005 ,   1003 ,   1002 ,   1004 ,   1001
Student_62  ,   1004 ,   1005 ,   1003 ,   1001 ,   1002
Student_63  ,   1002 ,   1005 ,   1004 ,   1001 ,   1003
Student_64  ,   1001 ,   1002 ,   1004 ,   1003 ,   1005
Student_65  ,   1005 ,   1004 ,   1001 ,   1003 ,   1002
Student_66  ,   1003 ,   1001 ,   1005 ,   1002 ,   1004
Student_67  ,   1002 ,   1004 ,   1005 ,   1003 ,   1001
Student_68  ,   1001 ,   1003 ,   1002 ,   1005 ,   1004
Student_69  ,   1005 ,   1004 ,   1002 ,   1003 ,   1001
Student_70  ,   1001 ,   1002 ,   1005 ,   1003 ,   1004
Student_71  ,   1002 ,   1005 ,   1001 ,   1003 ,   1004
Student_72  ,   1003 ,   1005 ,   1004 ,   1002 ,   1001
