StudentID   ,InversionCount
Student_1   ,5
Student_2   ,7
Student_3   ,7
Student_4   ,4
Student_5   ,N/A
Student_6   ,N/A
Student_7   ,N/A
Student_8   ,4
Student_9   ,N/A
Student_10  ,N/A
Student_11  ,N/A
Student_12  ,N/A
Student_13  ,N/A
Student_14  ,7
Student_15  ,7
Student_16  ,4
Student_17  ,N/A
Student_18  ,8
Student_19  ,N/A
Student_20  ,5
Student_21  ,5
Student_22  ,8
Student_23  ,N/A
Student_24  ,N/A
Student_25  ,7
Student_26  ,N/A
Student_27  ,5
Student_28  ,3
Student_29  ,6
Student_30  ,9
Student_31  ,N/A
Student_32  ,5
Student_33  ,N/A
Student_34  ,N/A
Student_35  ,0
Student_36  ,N/A
Student_37  ,N/A
Student_38  ,N/A
Student_39  ,4
Student_40  ,4
Student_41  ,5
Student_42  ,4
Student_43  ,9
Student_44  ,8
Student_45  ,5
Student_46  ,N/A
Student_47  ,5
Student_48  ,5
Student_49  ,2
Student_50  ,4
Student_51  ,2
Student_52  ,N/A
Student_53  ,N/A
Student_54  ,N/A
Student_55  ,4
Student_56  ,4
Student_57  ,1
Student_58  ,5
Student_59  ,5
Student_60  ,8
Student_61  ,N/A
Student_62  ,5
Student_63  ,5
Student_64  ,N/A
Student_65  ,7
Student_66  ,5
Student_67  ,4
Student_68  ,7
Student_69  ,6
Student_70  ,7
Student_71  ,N/A
Student_72  ,N/A
Student_73  ,4
Student_74  ,N/A
Student_75  ,5
Student_76  ,6
Student_77  ,4
Student_78  ,7
Student_79  ,6
Student_80  ,7
Student_81  ,5
Student_82  ,N/A
Student_83  ,N/A
Student_84  ,N/A
Student_85  ,6
Student_86  ,0
Student_87  ,N/A
Student_88  ,N/A
Student_89  ,N/A
Student_90  ,7
Student_91  ,6
Student_92  ,6
Student_93  ,5
Student_94  ,3
Student_95  ,N/A
Student_96  ,4
Student_97  ,N/A
Student_98  ,N/A
Student_99  ,6
Student_100 ,N/A
