StudentID   ,InversionCount
Student_1   ,N/A
Student_2   ,N/A
Student_3   ,N/A
Student_4   ,N/A
Student_5   ,N/A
Student_6   ,N/A
Student_7   ,N/A
Student_8   ,N/A
Student_9   ,N/A
Student_10  ,N/A
Student_11  ,N/A
Student_12  ,N/A
Student_13  ,N/A
Student_14  ,N/A
Student_15  ,N/A
Student_16  ,N/A
Student_17  ,N/A
Student_18  ,N/A
Student_19  ,N/A
Student_20  ,N/A
Student_21  ,N/A
Student_22  ,N/A
Student_23  ,N/A
Student_24  ,N/A
Student_25  ,N/A
Student_26  ,N/A
Student_27  ,N/A
Student_28  ,N/A
Student_29  ,N/A
Student_30  ,N/A
Student_31  ,N/A
Student_32  ,N/A
Student_33  ,N/A
Student_34  ,N/A
Student_35  ,N/A
Student_36  ,N/A
Student_37  ,N/A
Student_38  ,N/A
Student_39  ,N/A
Student_40  ,N/A
Student_41  ,N/A
Student_42  ,N/A
Student_43  ,N/A
Student_44  ,N/A
Student_45  ,N/A
Student_46  ,N/A
Student_47  ,N/A
Student_48  ,N/A
Student_49  ,N/A
Student_50  ,N/A
Student_51  ,3
Student_52  ,N/A
Student_53  ,N/A
Student_54  ,N/A
Student_55  ,N/A
Student_56  ,N/A
Student_57  ,N/A
Student_58  ,N/A
Student_59  ,N/A
Student_60  ,N/A
Student_61  ,N/A
Student_62  ,N/A
Student_63  ,N/A
Student_64  ,N/A
Student_65  ,N/A
Student_66  ,N/A
Student_67  ,N/A
Student_68  ,N/A
Student_69  ,N/A
Student_70  ,N/A
Student_71  ,N/A
Student_72  ,N/A
Student_73  ,N/A
Student_74  ,N/A
Student_75  ,N/A
Student_76  ,N/A
Student_77  ,N/A
Student_78  ,N/A
Student_79  ,N/A
Student_80  ,N/A
Student_81  ,N/A
Student_82  ,N/A
Student_83  ,N/A
Student_84  ,N/A
Student_85  ,N/A
Student_86  ,N/A
Student_87  ,N/A
Student_88  ,N/A
Student_89  ,N/A
Student_90  ,N/A
Student_91  ,N/A
Student_92  ,N/A
Student_93  ,N/A
Student_94  ,N/A
Student_95  ,N/A
Student_96  ,N/A
Student_97  ,N/A
Student_98  ,N/A
Student_99  ,N/A
Student_100 ,N/A
