StudentID   ,InversionCount
Student_1   ,5
Student_2   ,5
Student_3   ,7
Student_4   ,4
Student_5   ,6
Student_6   ,5
Student_7   ,6
Student_8   ,4
Student_9   ,4
Student_10  ,N/A
Student_11  ,6
Student_12  ,N/A
Student_13  ,2
Student_14  ,N/A
Student_15  ,N/A
Student_16  ,3
Student_17  ,7
Student_18  ,5
Student_19  ,7
Student_20  ,N/A
Student_21  ,3
Student_22  ,4
Student_23  ,3
Student_24  ,9
Student_25  ,N/A
Student_26  ,9
Student_27  ,N/A
Student_28  ,5
Student_29  ,8
Student_30  ,5
Student_31  ,1
Student_32  ,2
Student_33  ,6
Student_34  ,N/A
Student_35  ,5
Student_36  ,7
Student_37  ,N/A
Student_38  ,4
Student_39  ,4
Student_40  ,4
Student_41  ,N/A
Student_42  ,N/A
Student_43  ,5
Student_44  ,3
Student_45  ,4
Student_46  ,4
Student_47  ,N/A
Student_48  ,10
Student_49  ,7
Student_50  ,5
Student_51  ,1
Student_52  ,4
Student_53  ,N/A
Student_54  ,3
Student_55  ,7
Student_56  ,5
Student_57  ,7
Student_58  ,9
Student_59  ,7
Student_60  ,5
Student_61  ,6
Student_62  ,5
Student_63  ,3
Student_64  ,7
Student_65  ,N/A
Student_66  ,N/A
Student_67  ,3
Student_68  ,N/A
Student_69  ,N/A
Student_70  ,N/A
Student_71  ,3
Student_72  ,6
Student_73  ,N/A
Student_74  ,3
Student_75  ,5
Student_76  ,3
Student_77  ,5
Student_78  ,5
Student_79  ,N/A
Student_80  ,5
Student_81  ,6
Student_82  ,6
Student_83  ,6
Student_84  ,5
Student_85  ,5
Student_86  ,N/A
Student_87  ,3
Student_88  ,N/A
Student_89  ,N/A
Student_90  ,6
Student_91  ,8
Student_92  ,N/A
Student_93  ,N/A
Student_94  ,N/A
Student_95  ,N/A
Student_96  ,N/A
Student_97  ,5
Student_98  ,10
Student_99  ,7
Student_100 ,4
