StudentID   ,Course1 ,Course2 ,Course3 ,Course4 ,Course5
Student_1   ,   1004 ,   1002 ,   1003 ,   1001 ,   1005
Student_2   ,   1002 ,   1004 ,   1001 ,   1005 ,   1003
Student_3   ,   1001 ,   1002 ,   1005 ,   1004 ,   1003
Student_4   ,   1002 ,   1003 ,   1004 ,   1001 ,   1005
Student_5   ,   1002 ,   1003 ,   1001 ,   1004 ,   1005
Student_6   ,   1004 ,   1003 ,   1002 ,   1005 ,   1001
Student_7   ,   1005 ,   1002 ,   1003 ,   1004 ,   1001
Student_8   ,   1005 ,   1001 ,   1004 ,   1003 ,   1002
Student_9   ,   1002 ,   1004 ,   1001 ,   1003 ,   1005
Student_10  ,   1004 ,   1002 ,   1001 ,   1003 ,   1005
Student_11  ,   1002 ,   1004 ,   1005 ,   1003 ,   1001
Student_12  ,   1004 ,   1001 ,   1002 ,   1005 ,   1003
Student_13  ,   1005 ,   1001 ,   1003 ,   1002 ,   1004
Student_14  ,   1005 ,   1004 ,   1003 ,   1001 ,   1002
Student_15  ,   1003 ,   1005 ,   1004 ,   1002 ,   1001
Student_16  ,   1004 ,   1001 ,   1005 ,   1003 ,   1002
Student_17  ,   1001 ,   1002 ,   1005 ,   1004 ,   1003
Student_18  ,   1002 ,   1001 ,   1004 ,   1005 ,   1003
Student_19  ,   1002 ,   1005 ,   1004 ,   1003 ,   1001
Student_20  ,   1004 ,   1003 ,   1002 ,   1001 ,   1005
Student_21  ,   1001 ,   1002 ,   1005 ,   1003 ,   1004
Student_22  ,   1004 ,   1002 ,   1003 ,   1005 ,   1001
Student_23  ,   1002 ,   1003 ,   1005 ,   1004 ,   1001
Student_24  ,   1001 ,   1003 ,   1002 ,   1004 ,   1005
Student_25  ,   1003 ,   1002 ,   1001 ,   1004 ,   1005
Student_26  ,   1002 ,   1005 ,   1004 ,   1003 ,   1001
Student_27  ,   1003 ,   1005 ,   1001 ,   1004 ,   1002
Student_28  ,   1003 ,   1005 ,   1001 ,   1004 ,   1002
Student_29  ,   1002 ,   1003 ,   1004 ,   1001 ,   1005
Student_30  ,   1001 ,   1002 ,   1003 ,   1004 ,   1005
Student_31  ,   1003 ,   1005 ,   1002 ,   1001 ,   1004
Student_32  ,   1005 ,   1003 ,   1004 ,   1002 ,   1001
Student_33  ,   1001 ,   1004 ,   1002 ,   1003 ,   1005
Student_34  ,   1004 ,   1002 ,   1003 ,   1001 ,   1005
Student_35  ,   1001 ,   1003 ,   1002 ,   1005 ,   1004
Student_36  ,   1005 ,   1001 ,   1003 ,   1002 ,   1004
Student_37  ,   1005 ,   1003 ,   1002 ,   1004 ,   1001
Student_38  ,   1004 ,   1005 ,   1001 ,   1002 ,   1003
Student_39  ,   1003 ,   1001 ,   1004 ,   1002 ,   1005
Student_40  ,   1003 ,   1002 ,   1004 ,   1001 ,   1005
Student_41  ,   1005 ,   1002 ,   1001 ,   1003 ,   1004
Student_42  ,   1002 ,   1005 ,   1001 ,   1003 ,   1004
Student_43  ,   1003 ,   1001 ,   1002 ,   1004 ,   1005
