StudentID   ,InversionCount
Student_1   ,             5
Student_2   ,             4
Student_3   ,             3
Student_4   ,             3
Student_5   ,             2
Student_6   ,             7
Student_7   ,             7
Student_8   ,             7
Student_9   ,             3
Student_10  ,             4
Student_11  ,             6
Student_12  ,             4
Student_13  ,             5
Student_14  ,             9
Student_15  ,             8
Student_16  ,             6
Student_17  ,             3
Student_18  ,             3
Student_19  ,             7
Student_20  ,             6
Student_21  ,             2
Student_22  ,             6
Student_23  ,             5
Student_24  ,             1
Student_25  ,             3
Student_26  ,             7
Student_27  ,             6
Student_28  ,             6
Student_29  ,             3
Student_30  ,             0
Student_31  ,             6
Student_32  ,             9
Student_33  ,             2
Student_34  ,             5
Student_35  ,             2
Student_36  ,             5
Student_37  ,             8
Student_38  ,             6
Student_39  ,             3
Student_40  ,             4
Student_41  ,             5
Student_42  ,             4
Student_43  ,             2
Student_44  ,             5
Student_45  ,             6
Student_46  ,             4
Student_47  ,             3
Student_48  ,             2
Student_49  ,             5
Student_50  ,             4
Student_51  ,             4
Student_52  ,             1
Student_53  ,             3
Student_54  ,             8
Student_55  ,             8
Student_56  ,             6
Student_57  ,             6
Student_58  ,             6
Student_59  ,             7
Student_60  ,             6
Student_61  ,             9
Student_62  ,             4
Student_63  ,             4
Student_64  ,             6
Student_65  ,             1
Student_66  ,             5
Student_67  ,             6
Student_68  ,             4
Student_69  ,             5
Student_70  ,             5
Student_71  ,            10
Student_72  ,             3
Student_73  ,             8
Student_74  ,             5
Student_75  ,             5
Student_76  ,             3
Student_77  ,             9
Student_78  ,             7
Student_79  ,             8
Student_80  ,             9
Student_81  ,             1
Student_82  ,             4
Student_83  ,             5
Student_84  ,             3
Student_85  ,             7
Student_86  ,             7
Student_87  ,             5
Student_88  ,             8
Student_89  ,             6
Student_90  ,             7
Student_91  ,             8
Student_92  ,             5
Student_93  ,             9
Student_94  ,             8
Student_95  ,             5
Student_96  ,             8
Student_97  ,             3
Student_98  ,             9
Student_99  ,             8
Student_100 ,             7
